dataset_id,nct_id
CD001920_pub4_data,NCT03702452
CD001920_pub4_data,NCT00400712
CD001920_pub4_data,NCT02717715
CD001920_pub4_data,NCT02937480
CD001920_pub4_data,NCT02735148
CD001920_pub4_data,NCT01613339
CD001920_pub4_data,NCT01958736
CD003216_pub3_data,NCT01735443
CD003216_pub3_data,NCT01090076
CD004372_pub3_data,NCT01881893
CD004406_pub6_data,NCT00643149
CD006023_pub4_data,NCT00542815
CD006475_pub3_data,NCT01285830
CD006475_pub3_data,NCT00318695
CD006475_pub3_data,NCT00365469
CD006475_pub3_data,NCT00826189
CD006475_pub3_data,NCT00894816
CD006475_pub3_data,NCT00113659
CD006475_pub3_data,NCT06035835
CD006475_pub3_data,NCT00200954
CD006475_pub3_data,NCT00893711
CD006475_pub3_data,NCT00792090
CD006475_pub3_data,NCT00638677
CD006475_pub3_data,NCT00298337
CD006475_pub3_data,NCT00655720
CD006606_pub5_data,NCT03463772
CD007639_pub3_data,NCT00420836
CD007639_pub3_data,NCT00399945
CD008858_pub5_data,NCT00886613
CD008940_pub4_data,NCT00480441
CD008940_pub4_data,NCT03102918
CD008940_pub4_data,NCT00974376
CD008940_pub4_data,NCT02579421
CD008940_pub4_data,NCT02913924
CD009730_pub3_data,NCT02918409
CD010216_pub9_data,NCT02918630
CD010966_pub4_data,NCT02070744
CD010966_pub4_data,NCT02508207
CD010966_pub4_data,NCT02730208
CD010966_pub4_data,NCT03447249
CD010966_pub4_data,NCT03460990
CD010966_pub4_data,NCT02951195
CD010966_pub4_data,NCT02951182
CD011120_pub3_data,NCT01484340
CD011535_pub7_data,NCT05020249
CD011535_pub7_data,NCT03364309
CD011535_pub7_data,NCT02762994
CD011535_pub7_data,NCT04237116
CD011535_pub7_data,NCT04713592
CD011535_pub7_data,NCT01690299
CD011535_pub7_data,NCT03055494
CD011535_pub7_data,NCT01807520
CD011535_pub7_data,NCT03897088
CD011535_pub7_data,NCT01194219
CD011762_pub2_data,NCT01205932
CD011762_pub2_data,NCT01206972
CD012429_pub2_data,NCT02199743
CD012586_pub2_data,NCT00257556
CD012942_pub2_data,NCT00135525
CD012942_pub2_data,NCT00417118
CD012942_pub2_data,NCT00658008
CD012942_pub2_data,NCT00701675
CD012942_pub2_data,NCT00252343
CD012942_pub2_data,NCT00266747
CD013232_pub2_data,NCT00198107
CD013232_pub2_data,NCT00468130
CD013232_pub2_data,NCT01624675
CD013232_pub2_data,NCT01908205
CD013232_pub2_data,NCT01337687
CD013232_pub2_data,NCT02940574
CD013232_pub2_data,NCT00498173
CD013232_pub2_data,NCT03242772
CD013232_pub2_data,NCT00183339
CD013232_pub2_data,NCT01972074
CD013295_pub2_data,NCT02922582
CD013332_pub2_data,NCT00819286
CD013456_pub2_data,NCT01430624
CD013456_pub2_data,NCT02223390
CD013539_pub2_data,NCT02617485
CD013539_pub2_data,NCT03976102
CD013729_pub2_data,NCT02514889
CD013763_pub3_data,NCT03415646
CD013763_pub3_data,NCT03420703
CD013763_pub3_data,NCT03756987
CD013774_pub2_data,NCT02807636
CD013774_pub2_data,NCT02853305
CD013774_pub2_data,NCT02516241
CD013774_pub2_data,NCT02256436
CD013774_pub2_data,NCT02302807
CD013822_pub2_data,NCT04741503
CD013827_pub2_data,NCT02796105
CD013834_pub2_data,NCT03569618
CD014623_pub2_data,NCT00931879
CD014624_pub2_data,NCT03228394
CD014937_pub2_data,NCT00141778
CD014937_pub2_data,NCT02793661
CD014937_pub2_data,NCT02417896
CD014964_pub2_data,NCT02553746
CD014964_pub2_data,NCT02207972
CD014965_pub2_data,NCT01624675
CD014965_pub2_data,NCT00198107
CD014965_pub2_data,NCT00468130
CD014965_pub2_data,NCT00870727
CD014965_pub2_data,NCT01333072
CD014965_pub2_data,NCT00576732
CD014965_pub2_data,NCT00005014
CD014965_pub2_data,NCT01617447
CD014965_pub2_data,NCT00337571
CD014965_pub2_data,NCT00332241
CD014965_pub2_data,NCT01911442
CD015123_pub2_data,NCT00027300
CD015123_pub2_data,NCT00030966
CD015123_pub2_data,NCT04115488
CD015123_pub2_data,NCT01416181
CD015123_pub2_data,NCT01144052
CD015145_pub2_data,NCT02314104
CD015213_pub2_data,NCT00412659
CD015213_pub2_data,NCT02287935
CD015213_pub2_data,NCT01337869
CD015213_pub2_data,NCT03424057
CD015213_pub2_data,NCT02116738
CD015219_pub2_data,NCT04373733
CD015219_pub2_data,NCT04542694
CD015219_pub2_data,NCT04387760
CD015219_pub2_data,NCT04818320
CD015219_pub2_data,NCT04501783
CD015219_pub2_data,NCT04499677
CD015328_pub2_data,NCT00224887
CD015328_pub2_data,NCT02067728
CD015330_pub2_data,NCT02067728
CD015373_pub2_data,NCT00961194
CD015536_pub2_data,NCT01079806
CD015536_pub2_data,NCT01639066
CD015594_pub2_data,NCT00533468
CD015698_pub2_data,NCT02269904
CD015698_pub2_data,NCT02158988
CD015698_pub2_data,NCT00454519
CD015751_pub2_data,NCT02293538
CD015788_pub2_data,NCT00508469
CD015790_pub2_data,NCT00769015
CD015804_pub2_data,NCT04480463
CD015854_data,NCT02971683
CD015854_data,NCT04025632
CD015854_data,NCT02612857
CD015854_data,NCT02466243
CD015854_data,NCT00533091
CD015854_data,NCT01801917
CD015854_data,NCT02029274
CD015854_data,NCT01148810
CD015854_data,NCT02043548
CD015854_data,NCT00033891
CD015854_data,NCT00112385
CD015855_data,NCT00335985
CD016058_pub2_data,NCT04602494
CD016058_pub2_data,NCT04919590
CD016148_data,NCT04860106
CD016148_data,NCT04860104
