nct_id,source,condition,pmid,doi,title,publication_year,is_rct
NCT00769015,cochrane,CD015790,,,,,True
NCT04480463,cochrane,CD015804,,,,,True
NCT02971683,cochrane,CD015854,,,,,True
NCT04025632,cochrane,CD015854,,,,,True
NCT02612857,cochrane,CD015854,,,,,True
NCT02466243,cochrane,CD015854,,,,,True
NCT00533091,cochrane,CD015854,,,,,True
NCT01801917,cochrane,CD015854,,,,,True
NCT02029274,cochrane,CD015854,,,,,True
NCT01148810,cochrane,CD015854,,,,,True
NCT02043548,cochrane,CD015854,,,,,True
NCT00033891,cochrane,CD015854,,,,,True
NCT00112385,cochrane,CD015854,,,,,True
NCT00335985,cochrane,CD015855,,,,,True
NCT04602494,cochrane,CD016058,,,,,True
NCT04919590,cochrane,CD016058,,,,,True
NCT04860106,cochrane,CD016148,,,,,True
NCT04860104,cochrane,CD016148,,,,,True
NCT03605615,cochrane,CD016148,,,,,True
NCT03605619,cochrane,CD016148,,,,,True
NCT03605618,cochrane,CD016148,,,,,True
NCT01937546,cochrane,CD016148,,,,,True
NCT01533467,cochrane,CD016148,,,,,True
NCT01359878,cochrane,CD016168,,,,,True
NCT03248297,cochrane,CD016211,,,,,True
NCT04947163,pubmed,diabetes mellitus,39284701,10.1136/bmjopen-2023-080718,Does multifactorial inspiratory muscle training improve postural stability and quality of life of patients with diabetes in Pakistan? A randomised controlled trial.,2024,True
NCT03896360,pubmed,diabetes mellitus,37892527,10.3390/nu15204452,A Randomized Controlled Pilot Study of the Food Order Behavioral Intervention in Prediabetes.,2023,True
NCT03544229,pubmed,diabetes mellitus,37533380,10.1111/nmo.14652,Randomized clinical trial: A phase 2b controlled study of the efficacy and safety of trazpiroben (TAK-906) for idiopathic or diabetic gastroparesis.,2023,True
NCT03941288,pubmed,diabetes mellitus,37482172,10.1016/j.cgh.2023.07.008,"A Randomized, Controlled Trial of Efficacy and Safety of Cannabidiol in Idiopathic and Diabetic Gastroparesis.",2023,True
NCT04944992,pubmed,diabetes mellitus,37355043,10.1016/j.jhep.2023.05.013,A phase IIa active-comparator-controlled study to evaluate the efficacy and safety of efinopegdutide in patients with non-alcoholic fatty liver disease.,2023,True
NCT04860180,pubmed,diabetes mellitus,35721734,10.3389/fendo.2022.898084,Adrenalectomy Improves Blood Pressure and Metabolic Control in Patients With Possible Autonomous Cortisol Secretion: Results of a RCT.,2022,True
NCT03314272,pubmed,diabetes mellitus,35710339,10.1186/s12871-022-01721-6,Automated versus conventional perioperative glycemic control in adult diabetic patients undergoing open heart surgery.,2022,True
NCT01984827,pubmed,diabetes mellitus,35596784,10.1007/s00392-022-02037-8,Effect of hyperglycaemia in combination with moxifloxacin on cardiac repolarization in male and female patients with type I diabetes.,2022,True
NCT01864603,pubmed,diabetes mellitus,34543267,10.1371/journal.pmed.1003803,"Effect of a patient-centered hypertension delivery strategy on all-cause mortality: Secondary analysis of SEARCH, a community-randomized trial in rural Kenya and Uganda.",2021,True
NCT03118336,pubmed,diabetes mellitus,33648515,10.1186/s12933-021-01237-2,Effect of empagliflozin on ectopic fat stores and myocardial energetics in type 2 diabetes: the EMPACEF study.,2021,True
NCT00799903,pubmed,diabetes mellitus,30897999,10.1161/JAHA.118.010641,Cardiovascular and Lifestyle Risk Factors and Cognitive Function in Patients With Stable Coronary Heart Disease.,2019,True
NCT00391872,pubmed,diabetes mellitus,30857464,10.1161/JAHA.118.011139,Impact of Diabetes Mellitus and Chronic Kidney Disease on Cardiovascular Outcomes and Platelet P2Y,2019,True
NCT01516346,pubmed,diabetes mellitus,30764699,10.1161/JAHA.118.011457,"Impact of Diabetes Mellitus on Ventricular Structure, Arterial Stiffness, and Pulsatile Hemodynamics in Heart Failure With Preserved Ejection Fraction.",2019,True
NCT02181062,pubmed,stroke,30836804,10.1161/JAHA.118.011088,"""Worth the Walk"": Culturally Tailored Stroke Risk Factor Reduction Intervention in Community Senior Centers.",2019,True
NCT01206062,pubmed,stroke,30744452,10.1161/JAHA.118.010811,Low Diastolic Blood Pressure is Not Related to Risk of First Episode of Stroke in a High-Risk Population: A Secondary Analysis of SPRINT.,2019,True
NCT00059306,pubmed,stroke,30686103,10.1161/JAHA.118.010091,"Cerebral White Matter Hyperintensities, Kidney Function Decline, and Recurrent Stroke After Intensive Blood Pressure Lowering: Results From the Secondary Prevention of Small Subcortical Strokes ( SPS ",2019,True
NCT01513798,pubmed,stroke,30652528,10.1161/JAHA.118.010634,Exercise Training Adds Cardiometabolic Benefits of a Paleolithic Diet in Type 2 Diabetes Mellitus.,2019,True
NCT00262600,pubmed,stroke,30651032,10.1161/JAHA.118.010107,Cardiac Biomarkers and Left Ventricular Hypertrophy in Relation to Outcomes in Patients With Atrial Fibrillation: Experiences From the  RE - LY Trial.,2019,True
NCT02096406,pubmed,stroke,30371293,10.1161/JAHA.118.009917,Comparison of Angiotensin-Converting Enzyme Inhibitor and Angiotensin Receptor Blocker Management Strategies Before Cardiac Surgery: A Pilot Randomized Controlled Registry Trial.,2018,True
NCT02664649,pubmed,stroke,29898848,10.1016/j.ahj.2018.03.008,Oral anti-Xa anticoagulation after trans-aortic valve implantation for aortic stenosis: The randomized ATLANTIS trial.,2018,True
NCT02317237,pubmed,stroke,29793595,10.1016/j.bja.2018.01.039,The influence of blood pressure management on neurological outcome in endovascular therapy for acute ischaemic stroke.,2018,True
