Study,Study.year
Deng 2011,2011
Fan WK 2006,2006
Hu 2007,2007
Meng Fanda 2021,2021
Ni 1997,1997
Qin 2013,2013
Wang 2004a,2004
Wang Dongya 2015,2015
Wu Jing 2015,2015
Xu 2015,2015
Ye Dayong 2010,2010
Yin 2003a,2003
Zang 2013,2013
Zhao 2002,2002
Zhu 2001,2001
Brouwer 2018,2018
Knox 2018,2018
SunRISe 2021,2021
Batchelor 2012,2012
Hui-Chan 2009,2009
Lee 2015,2015
Signal 2014,2014
Teixeira-Salmela 1999,1999
Yang 2006,2006
Torres-Arreola 2009,2009
ACTIV 2021,2021
Nindorera 2022,2022
Yang Jian 2007,2007
FeSTivaLS 2014,2014
McClellan 2004,2004
Mudge 2009,2009
Ma Xue 2010,2010
Moore 2016,2016
Pang 2005,2005
Salbach 2004,2004
Dean 2000,2000
Dean 2006,2006
Martins 2020,2020
Blennerhassett 2004,2004
Stuart 2019,2019
Bordoloi 2020,2020
Cao 2014,2014
Du 2014,2014
Duncan 1998,1998
Fang H 2010,2010
Guan 2017,2017
Kim 2007,2007
Kim 2014,2014
LAST 2018,2018
Lee 2018,2018
Letombe 2010,2010
Li Jingqian 2013,2013
Li Xiaojun 2016,2016
Mai Guanghuai 2016,2016
Qin JianJian 2014,2014
Wu Jiaming 2006,2006
Wu Lotus 2016,2016
Xu 2013,2013
Yang 2017,2017
Yue Chunjiang 2014,2014
Zhuang 2012,2012
Duncan 2003,2003
Hong Cuicui 2016,2016
Tang 2009,2009
Wang 2004b,2004a
Yue Lin 2012,2012
Aries 2021,2021
Cooke 2006,2006
Kunkel 2013,2013
Mustafaoğlu 2018,2018
Harjpal 2021,2021
Kim 2012,2012
Lindvall 2014,2014
Xiao Zhen-dong 2014,2014
Xu Yumei 2013,2013
Kim 2012a,2012
Kim 2021,2021
Park 2021,2021
Song 2015,2015
Zhu 2016,2016
Dalal 2018,2018
Frimpong 2014,2014
Jandaghi 2021,2021
Chen G 2014,2014
Chen P 2014,2014
Choi JU 2015,2015
Ding 2015,""
Langhammer 2007,2007
Lawal 2016,2016
Li Weiwei 2015,2015
Meng 2022,2022
Meng Qingling 2015,2015
Pandian 2014,2014
Rahayu 2020,2020
Zhang Huiyu 2021,2021
Arya 2019,2019
Bui 2019,2019
Guo L 2013,2013
Kim 2016,2016
Langhammer 2000,2000
Li 2005,2005
Lincoln 2003,2003
Richards 1993,1993
Shuai 2013,2013
Wang 2005,2005
Wang Wenwei 2012,2012
Aloraini 2022,2022
Kwakkel 2008,2008
Wang Leilei 2020,2020
Anandan 2020,2020
Duan 2011,2011
Arabzadeh 2018,2018
Candan 2017,2017
