dataset_id,n_studies,n_analyses,review_doi,review_url
CD000028_pub4_data,16,15,10.1002/14651858.CD000028.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full
CD000143_pub2_data,9,15,10.1002/14651858.CD000143.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000143.pub2/full
CD000219_pub5_data,17,11,10.1002/14651858.CD000219.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000219.pub5/full
CD000478_pub5_data,10,11,10.1002/14651858.CD000478.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000478.pub5/full
CD000547_pub3_data,39,38,10.1002/14651858.CD000547.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000547.pub3/full
CD001072_pub2_data,1,3,10.1002/14651858.CD001072.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001072.pub2/full
CD001155_pub3_data,104,136,10.1002/14651858.CD001155.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001155.pub3/full
CD001321_pub7_data,38,25,10.1002/14651858.CD001321.pub7,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001321.pub7/full
CD001396_pub4_data,28,24,10.1002/14651858.CD001396.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001396.pub4/full
CD001431_pub6_data,188,51,10.1002/14651858.CD001431.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001431.pub6/full
CD001533_pub7_data,49,53,10.1002/14651858.CD001533.pub7,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001533.pub7/full
CD001552_pub3_data,14,53,10.1002/14651858.CD001552.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001552.pub3/full
CD001703_pub4_data,20,27,10.1002/14651858.CD001703.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001703.pub4/full
CD001797_pub4_data,8,26,10.1002/14651858.CD001797.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001797.pub4/full
CD001837_pub4_data,72,13,10.1002/14651858.CD001837.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001837.pub4/full
CD001909_pub4_data,14,11,10.1002/14651858.CD001909.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001909.pub4/full
CD001920_pub4_data,196,73,10.1002/14651858.CD001920.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001920.pub4/full
CD002042_pub6_data,66,56,10.1002/14651858.CD002042.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002042.pub6/full
CD002052_pub4_data,6,26,10.1002/14651858.CD002052.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002052.pub4/full
CD002112_pub2_data,81,34,10.1002/14651858.CD002112.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002112.pub2/full
CD002115_pub6_data,21,16,10.1002/14651858.CD002115.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002115.pub6/full
CD002122_pub3_data,32,46,10.1002/14651858.CD002122.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002122.pub3/full
CD002203_pub5_data,12,45,10.1002/14651858.CD002203.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002203.pub5/full
CD002243_pub5_data,78,32,10.1002/14651858.CD002243.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002243.pub5/full
CD002290_pub6_data,57,74,10.1002/14651858.CD002290.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002290.pub6/full
CD002303_pub4_data,8,7,10.1002/14651858.CD002303.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002303.pub4/full
CD002971_pub6_data,12,15,10.1002/14651858.CD002971.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002971.pub6/full
CD003129_pub2_data,5,13,10.1002/14651858.CD003129.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003129.pub2/full
CD003214_pub4_data,1,8,10.1002/14651858.CD003214.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003214.pub4/full
CD003216_pub3_data,32,44,10.1002/14651858.CD003216.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003216.pub3/full
CD003218_pub3_data,6,5,10.1002/14651858.CD003218.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003218.pub3/full
CD003331_pub6_data,55,9,10.1002/14651858.CD003331.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003331.pub6/full
CD003333_pub4_data,4,6,10.1002/14651858.CD003333.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003333.pub4/full
CD003357_pub5_data,9,11,10.1002/14651858.CD003357.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003357.pub5/full
CD003376_pub4_data,26,76,10.1002/14651858.CD003376.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003376.pub4/full
CD003414_pub4_data,29,27,10.1002/14651858.CD003414.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003414.pub4/full
CD003429_pub5_data,3,10,10.1002/14651858.CD003429.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003429.pub5/full
CD003451_pub3_data,28,36,10.1002/14651858.CD003451.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003451.pub3/full
CD003477_pub5_data,28,28,10.1002/14651858.CD003477.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003477.pub5/full
CD003511_pub6_data,8,9,10.1002/14651858.CD003511.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003511.pub6/full
CD003519_pub5_data,60,49,10.1002/14651858.CD003519.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003519.pub5/full
CD003594_pub7_data,26,71,10.1002/14651858.CD003594.pub7,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003594.pub7/full
CD003598_pub3_data,76,260,10.1002/14651858.CD003598.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003598.pub3/full
CD003743_pub3_data,1,16,10.1002/14651858.CD003743.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003743.pub3/full
CD003774_pub5_data,41,72,10.1002/14651858.CD003774.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003774.pub5/full
CD003833_pub5_data,8,6,10.1002/14651858.CD003833.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003833.pub5/full
CD003962_pub3_data,64,93,10.1002/14651858.CD003962.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003962.pub3/full
CD004184_pub3_data,25,20,10.1002/14651858.CD004184.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004184.pub3/full
CD004307_pub7_data,56,6,10.1002/14651858.CD004307.pub7,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004307.pub7/full
CD004372_pub3_data,3,2,10.1002/14651858.CD004372.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004372.pub3/full
CD004376_pub4_data,138,21,10.1002/14651858.CD004376.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004376.pub4/full
CD004406_pub6_data,18,27,10.1002/14651858.CD004406.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004406.pub6/full
CD004417_pub6_data,11,24,10.1002/14651858.CD004417.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004417.pub6/full
CD004508_pub5_data,7,16,10.1002/14651858.CD004508.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004508.pub5/full
CD004661_pub4_data,6,130,10.1002/14651858.CD004661.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004661.pub4/full
CD004667_pub6_data,17,41,10.1002/14651858.CD004667.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004667.pub6/full
CD004703_pub3_data,21,11,10.1002/14651858.CD004703.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004703.pub3/full
CD004736_pub6_data,41,287,10.1002/14651858.CD004736.pub6,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004736.pub6/full
