dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD009749_pub3_data,10.1002/14651858.CD009749.pub3,"hypertension, pregnancy, gastrointestinal",28,Live birth/ongoing pregnancy rate - DHEA | Live birth/ongoing pregnancy rate - T | Miscarriage rate - DHEA | Miscarriage rate - T | Clinical pregnancy rate - DHEA | Clinical pregnancy rate - T | Multiple pregnancy | Adverse effects to the woman | Pregnancy complications | Sensitivity analyses  | Live birth/ongoing pregnancy | Clinical pregnancy rate,hypertension OR pregnancy OR gastrointestinal
CD009752_pub3_data,10.1002/14651858.CD009752.pub3,"diabetes, cardiovascular, respiratory, infection, neurological, renal",14,All-cause mortality: short term (0 to 30 days post surgery) | All-cause mortality: long term (31 days to two years post-surgery) | Severe adverse events: cardiac events | Severe adverse events: acute lung injury | Severe adverse events: stroke | Severe adverse events: thromboembolism | Severe adverse events: renal failure (needing renal replacement therapy)  | Severe adverse events: infection | Severe adverse events: haemorrhage (return to theatre for bleeding) | Haemoglobin (g/dL) levels postoperatively  | Number of participants receiving any red cell transfusion | Number of participants receiving any fresh frozen plasma  | Number of participants receiving any platelet transfusion | Postoperative drain output mg/kg/hr | Postoperative chest drain output mL per participant | Duration of mechanical ventilation (hours) | Duration of ICU stay (days) | Cerebral oxygen content post surgery (rSO2) | 'Peak' lactate levels (mmol/L) | All-cause mortality: long term (31 days to 2 years post-surgery) | Severe adverse event: thromboembolism | Haematocrit (%) levels postoperatively | Duration of intensive care unit stay (days) | Postoperative chest drain output (number of days of mediastinal drainage) | 'Peak' lactate levels (mmol/L)  | Lactate levels prior to cardiopulmonary bypass in prime | Lactate levels (mmol/L) in CPB circuit prime after line connection and 5 min recirculation | Lactate levels (mmol/L) at up to 15 minutes after the start of cardiopulmonary bypass | Lactate levels at 28 degrees during rewarming | Lactate levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula | Sodium (Na+) levels (mmol/L) prior to cardiopulmonary bypass in prime | Sodium (Na+) levels (mmol/L) at 36 degrees after rewarming | Sodium (Na+) levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula | Potassium (K+) levels (mmol/L) prior to cardiopulmonary bypass in prime | Potassium (K+) levels (mmol/L) at 28 degrees during rewarming | Potassium (K+) levels (mmol/L) immediately after cardiopulmonary bypass and clamp of arterial cannula | Blood glucose (mg/dL) in prime prior to CPB  | Blood glucose levels (mg/dL) at up to 15 minutes after the start of cardiopulmonary bypass | Oxygen content post surgery CaO2 (ml dl-1) | All-cause mortality: short term (0 to 30 days post-surgery) | Duration of intensive care unit stay | Lactate levels (mmol/L at up to 15 minutes after the start of cardiopulmonary bypass | Severe adverse events: renal failure (creatinine increasing at least twofold within 72 hours of surgery),diabetes OR cardiovascular OR respiratory OR infection OR neurological OR renal
CD009788_pub3_data,10.1002/14651858.CD009788.pub3,"hypertension, mental_health",10,Service use: hospitalization | Functioning – general | Satisfaction with care: clinically important change in satisfaction | Global state (secondary outcomes) | Service use: number of hospitalizations | Service use: time in hospital (days) | Service use: emergency care visits | Functioning – specific: social skills | Mental state | Quality of life | Leaving the study early,hypertension OR mental_health
CD009945_pub3_data,10.1002/14651858.CD009945.pub3,other,3,50% responder | Treatment withdrawal | Any adverse effects,other
CD010001_pub4_data,10.1002/14651858.CD010001.pub4,"diabetes, pregnancy, gastrointestinal, dermatology",45,Live birth or ongoing pregnancy | Vasodilator side effects | Specific vasodilator side effects | Clinical pregnancy | Endometrial thickness | Other adverse effects | Clinical pregnancy: vasodilators versus placebo or no treatment | Endometrial thickness: vasodilators versus placebo or not treatment | Clinical pregnancy: vasodilators versus oestrogens | Live birth or ongoing pregnancy: vasodilators versus placebo or no treatment | Side effects: vasodilators versus placebo or no treatment | Clinical pregnancy: vasodilator versus placebo or no treatment | Endometrial thickness: vasodilator versus placebo or no treatment | Clinical pregnancy: vasodilator versus oestrogen | Endometrial thickness: vasodilators versus oestrogens,diabetes OR pregnancy OR gastrointestinal OR dermatology
CD010136_pub4_data,10.1002/14651858.CD010136.pub4,pain,3,Swelling at 7 days | Number of participants who required ibuprofen | Pain at 24 hours | Pain at 48 hours | Pain at 72 hours | Pain at 7 days | Swelling at 24 hours | Swelling at 48 hours | Swelling at 72 hours | Percussion pain at 24 hours | Percussion pain at 48 hours | Percussion pain at 72 hours | Percussion pain at 7 days | Incidence of endodontic flare-up | Total number of ibuprofen tablets | Total number of paracetamol (acetaminophen) with codeine tablets,pain
CD010145_pub2_data,10.1002/14651858.CD010145.pub2,"cancer, infection, renal, dermatology",27,Quality of life via FACT (short term) | Change in quality of life after treatment via QLQ-C30 (short term) | Change in quality of life after treatment via QLI (short term) | Quality of life via FACT (intermediate term) | Change in sleep after treatment via PSQI (short term) | Adverse event (headache) | Adverse event (fatigue) | Adverse event (nausea) | One-year survival rate | Two-year survival rate | Three-year survival rate | Two-year disease-free survival (DFS) rate | Five-year disease-free survival (DFS) rate | Tumour complete response rate (CR) (short term) | Tumour partial response rate (PR) (short term) | Tumour stable disease rate (SD) (short term) | Tumour progressive disease rate (PD) (short term) | Positive tumour response rate (CR + PR) (intermediate term) | Negative tumour response rate (SD + PD) (intermediate term) | Improvement in quality of life via Karnofsky's score | Five-year survival rate | Progression-free survival (PFS) | One-year disease-free survival (DFS) rate | Tumour complete response rate (CR) defined by RECIST (intermediate term) | Tumour partial response rate (PR) defined by RECIST (intermediate term) | Tumour stable disease rate (SD) defined by RECIST (intermediate term) | Tumour progressive disease rate (PD) defined by RECIST (intermediate term) | Tumour complete response rate (CR) defined by RECIST (long term) | Tumour partial response rate (PR) defined by RECIST (long term) | Tumour stable disease rate (SD) defined by RECIST (long term) | Tumour progressive disease rate (PD) defined by RECIST (long term) | (Additional table) CR until progression of the disease | (Additional table) PR until progression of the disease | (Additional table) SD until progression of the disease | (Additional table) PD until progression of the disease | One-year survival rate without Novik 2021 | Adverse events (related to the study treatment) | Incidence of anaemia at least grade 3 | Incidence of neutropenia at least grade 3 | Incidence of nausea at least grade 3 | Incidence of vomiting at least grade 3 | Incidence of anorexia at least grade 3 | Incidence of renal failure at least grade 3 | Incidence of oral mucositis at least grade 3 | Incidence of cheilitis at least grade 3 | Incidence of radiation skin injury at least grade 3 | Incidence of dermatitis at least grade 3 | Incidence of allergies at least grade 3 | Incidence of pneumonia at least grade 3 | Incidence of asthenia at least grade 3,cancer OR infection OR renal OR dermatology
CD010163_pub3_data,10.1002/14651858.CD010163.pub3,"cancer, gastrointestinal",2,Tumour response | All-cause mortality at 2-year follow-up | Any adverse events or complications | Recurrence of liver metastases ,cancer OR gastrointestinal
CD010189_pub3_data,10.1002/14651858.CD010189.pub3,other,9,Overall survival | Disease free survival | Incidence of non-relapse or transplant-related mortality | Incidence of extensive chronic GvHD | Incidence of acute GvHD grade III-IV | Incidence of overall chronic GvHD | Incidence of relapse | Time to platelet engraftment | Time to neutrophil engraftment | Incidence of acute GvHD grade II-IV,other
CD010216_pub9_data,10.1002/14651858.CD010216.pub9,"hypertension, cardiovascular, pregnancy",51,Smoking cessation | Adverse events | Serious adverse events | Carbon monoxide (ppm) | Heart rate (bpm) | Systolic blood pressure | Blood oxygen saturation | 3-HPMA (pmol/mg creatinine) | NNAL (pmol/mg creatinine)) | 2-HPMA (pmol/mg creatinine) | HMPMA (pmol/mg creatinine) | PheT (pmol/mg creatinine) | CEMA (pmol/mg creatinine) | AAMA (pmol/mg creatinine) | FEV1 | FEV1/FVC (%) | PEF (L/min) | Product use at 6+ months | Adverse events at 12 weeks | SAEs at 12 weeks | Carbon monoxide (ppm) absolute values at 12 weeks | VO2 Max at 12 weeks | Heart rate | FeNO (ppb) | FEV1 (l) | FEV1/FVC | NNAL (pmol/mg creatinine) | 3-HPMA (SMD) | NNAL (SMD) | S-PMA (nanograms) | FEV1 (SMD) | FEF 25-75 (litres/second)) | PEF 25-75 (litres/minute) | Adverse events at 1 week | FVC (l) | NNAL (pg/mg creatinine) at 24 weeks | NNAL (ng/g) | FEV1 (% predicted) | Exhaled CO | Serious adverse events at 24 weeks | Change in carbon monoxide (ppm) at 6 months | Adverse events at 3 months | Serious adverse events at 3 months | FEV1 (%) | FVC (%) | Study product use at 6+ months | Serious adverse events at 12 weeks,hypertension OR cardiovascular OR pregnancy
CD010290_pub4_data,10.1002/14651858.CD010290.pub4,pregnancy,15,Live birth rate per woman by urinary gonadotropins | Live birth rate per woman by sponsor | Multiple pregnancy per woman by urinary gonadotropins | Multiple pregnancy per woman by sponsor | Clinical pregnancy rate per woman by urinary gonadotropins | Multiple pregnancy per clinical pregnancy by urinary gonadotropins | Miscarriage rate per woman by urinary gonadotropins | Ectopic pregnancy  | Incidence of OHSS per woman by urinary gonadotropins | Total gonadotrophin dose per woman (IU) by urinary gonadotropins | Total duration of stimulation per woman (days) by urinary gonadotropins | Sensitivity analysis: live birth rate per woman - low risk studies | Sensitivity analysis: live birth rate per woman - random effects model | Sensitivity analysis: live birth rate per woman - odds ratio | Sensitivity analysis: multiple pregnancy per woman - low risk studies | Sensitivity analysis: multiple pregnancy per woman - random effects model | Sensitivity analysis: multiple pregnancy per woman - odds ratio | Live birth rate per woman | Multiple pregnancy per woman | Clinical pregnancy rate per woman | Multiple pregnancy per clinical pregnancy | Miscarriage rate per woman | Incidence of OHSS per woman | Ongoing pregnancy rate per woman | Multiple pregnancy (per clinical pregnancy) | Ectopic pregnancy per woman | Stillbirth | Birthweight per live birth,pregnancy
CD010333_pub4_data,10.1002/14651858.CD010333.pub4,mental_health,1,Cerebral palsy | Mental Developmental Index (Bayley II) at 18 to 22 months' corrected age | Normal auditory functioning at discharge (measured using automated auditory brainstem response) | All-cause mortality during hospital stay | Weight (kg) at 18 to 22 months' corrected age | Height (cm) at 18 to 22 months' corrected age | Days of assisted ventilation | Days of initial hospitalisation,mental_health
CD010441_pub3_data,10.1002/14651858.CD010441.pub3,"pregnancy, gastrointestinal",5,Incidence of perineal trauma (tears or episiotomy or both) | Incidence of episiotomy | Incidence of first and second degree perineal lacerations | Incidence of third and fourth degree perineal trauma | Incidence of perineal oedema 1 hour after vaginal delivery | Incidence of perineal oedema 24 hours after vaginal delivery | Incidence of neonatal Apgar scores less than 7 at five minutes,pregnancy OR gastrointestinal
CD010533_pub3_data,10.1002/14651858.CD010533.pub3,cancer,10,"Overall survival (OS) | Progression-free survival (PFS) | Treatment-related mortality | Incidence of second primary malignancy | Serious adverse events | Overall survival | Progression-free survival | Adverse events, grade 3-4 | Any grade adverse event | Incidence of secondary malignancy | progression-free survival",cancer
CD010583_pub6_data,10.1002/14651858.CD010583.pub6,infection,10,Mortality (30 days) | Mortality (90 days) | Intra-abdominal infection | Wound infection | Morbidity | Length of hospital stay (days) | Additional open procedures for postoperative complications | Additional radiological interventions for postoperative complications | Hospital costs,infection
CD010779_pub2_data,10.1002/14651858.CD010779.pub2,pain,5,Passive range of motion without standardised force | Passive range of motion with standardised force  | Stiffness (newton-metres) | Pain | Function | Passive range of motion with standardised force,pain
CD010856_pub3_data,10.1002/14651858.CD010856.pub3,other,17,"Change in the number of decayed, missing or filled primary teeth (dmft) | Change in the number of decayed, missing or filled permanent teeth (DMFT) | Change in the number of decayed, missing or filled permanent surfaces (DMFS)  | Change in the proportion of caries-free participants (primary teeth) | Change in the proportion of caries-free participants (permanent teeth) | Sensitivity analysis - all included studies: change in the number of decayed, missing or filled primary teeth (dmft) | Sensitivity analysis - all included studies: change in the number of decayed, missing or filled permanent teeth (DMFT) | Sensitivity analysis - all included studies: change in the proportion of caries-free participants (primary teeth) | Sensitivity analysis - all included studies: change in the proportion of caries-free participants (permanent teeth) | Sensitivity analysis - change in analytical approach: change in the number of decayed, missing or filled primary teeth (dmft) | Sensitivity analysis - excluding studies with imputed standard deviations: change in the number of decayed, missing or filled primary teeth (dmft) | Sensitivity analysis - excluding studies with imputed standard deviations: change in the number of decayed, missing or filled permanent teeth (DMFT)",other
CD010861_pub3_data,10.1002/14651858.CD010861.pub3,"infection, mental_health, pain, gastrointestinal",31,Maternal mortality | Fatigue 0-7 days | Fatigue 8-28 days | Fatigue > 28 days | Psychological wellbeing | Infection | Compliance to treatment | Serious adverse events | Anaphylaxis or evidence of hypersensitivity | Flushing/Fishbane reaction | Injection site discomfort / reaction | Constipation | Nausea | Gastrointestinal pain | Number of RBC transfused women | Hb (g/dL) 0-7 days | Hb (g/dL) 8-28 days | Hg (g/dL) > 28 days | Maternal mortality  | Breastfeeding at hospital discharge | Breastfeeding > 6 weeks postpartum | Hb (g/dL) > 28 days | Persistent anaemia symptoms | Length of hospital stay | IV vs. oral iron - Hb (g/dL) 0-7 days (iron dosage and type) | IV vs. oral iron - Hb (g/dL) 8-28 days (iron dosage and type) | IV vs. oral iron - Hb (g/dL) > 28 days (iron dosage and type) | IV vs. oral iron - Hb (g/dL) 0-7 days (bias in allocation excluded) | IV vs. oral iron - Hb (g/dL) 8-28 days (bias in allocation excluded) | IV vs. oral iron - Hb (g/dL) > 28 days (bias in allocation excluded),infection OR mental_health OR pain OR gastrointestinal
CD010966_pub4_data,10.1002/14651858.CD010966.pub4,"hypertension, diabetes, cardiovascular, respiratory, infection, mental_health, pain, gastrointestinal, renal",32,FEV1 % predicted (absolute change from baseline) | Adverse effects: 100 mg and 200 mg lumacaftor groups (combined data) versus placebo at up to 1 month | Adverse effects: 200 mg lumacaftor group versus placebo at up to 1 month | Adverse effects requiring study drug discontinuation at up to 1 month | Sweat chloride concentration (change from baseline at up to 1 month) [mmol/L] | Sweat chloride concentration (change from baseline) | CFQR respiratory domain: absolute change from baseline | CFQR eating domain: absolute change from baseline | Adverse events occurring in > 10% of participants at up to 1 month | Sweat chloride | FEV1 % predicted (relative change from baseline at up to 1 month) | Treatment-emergent adverse events (mild) at up to 1 month | Treatment-emergent adverse events (moderate) at up to 1 month | Treatment-emergent adverse events (serious or severe) at up to 1 month | Mean change in CFQ-R respiratory domain | FEV1 % predicted absolute change (% points) | Adverse events at up to 1 month | Sweat chloride change from baseline (mmol/L) | Adverse events occurring in more than 3% of participants in all treatment groups (combined data) versus placebo at up to 1 month | Participants requiring study drug termination or a reduced dosage at up to 1 month | Absolute change from baseline in lung clearance index 2.5 (LCI2.5)  | Most common adverse events (occurring in at least 10% of participants in either group) | Absolute change from baseline in sweat chloride | Absolute change from baseline in MRI global chest score | Absolute change from baseline in weight-for-age z score | Absolute change from baseline in BMI-for-age z score | Absolute change from baseline in stature-for-age z score  | Quality of life - Euro Quality of Life Scale (EuroQol) 5-Dimension-3 Level (EQ-5D-3L) Index Score (absolute change from baseline) | Quality of life - CFQ-R respiratory domain (absolute change from baseline) | Quality of life - EQ-5D-3L VAS score (absolute change from baseline) | FEV1 % predicted (relative change from baseline) | Adverse events by end of study (at 6 months) | Time to first pulmonary exacerbation | Rate of exacerbations | Weight (kg) (absolute change from baseline) | BMI (absolute change from baseline) | BMI (relative change from baseline) | Adverse events occurring in 10% or more participants (from days 15 to 21) | Sweat chloride concentration (mmol/L) (change from baseline) | LCI2.5 (absolute change from baseline) | Treatment-emergent adverse events with incidence > 10% in any treatment group (at 6 months) | Sweat chloride concentration (absolute change from baseline) | CT Brody score (mean change) | CT Brody score bronchiectasis score (mean change) | CT Brody score air trapping score (mean change) | BMI-for-age z score (absolute change from baseline) | Absolute change from baseline in CFQ-R respiratory domain score | Relative change from baseline in % predicted FEV1 | Absolute change from baseline in % predicted FEV1 | Absolute change from baseline in body weight (kg) | Absolute change from baseline BMI | CFQ-R respiratory domain (absolute change from baseline)  | CFQ-R physical functioning domain (absolute change from baseline) | CFQ-R treatment burden domain (absolute change from baseline) | CFQ-R health perceptions domain (absolute change from baseline) | CFQ-R vitality domain (absolute change from baseline) | CFQ-R social functioning domain (absolute change from baseline) | CFQ-R role functioning domain (absolute change from baseline) | CFQ-R eating problems domain (absolute change from baseline) | CFQ-R emotional functioning (absolute change from baseline) | CFQ-R weight domain (absolute change from baseline) | CFQ-R digestive symptoms domain(absolute change from baseline) | CFQ-R body image domain (absolute change from baseline) | FEV1 % predicted (relative change from baseline)  | FEV1 % predicted (absolute change from baseline)  | Absolute change from baseline in mucociliary clearance  | Number of participants with at least 1 pulmonary exacerbation | Number of pulmonary exacerbations | Sweat chloride (change from baseline)  | Absolute change in total Brody/CF-CT score from baseline | Lung infection (pseudomonal) | Absolute change from baseline in body weight | BMI (change from baseline)  | Absolute change from baseline in BMI z score | Quality of life: change in CFQ-R respiratory domain | FEV1 L (absolute change from baseline) | Adverse events (at 1 month) | Sweat chloride (change from baseline) (mmol/L) | Adverse events (at up to 1 month) | Sweat chloride (absolute change from baseline) | Most common adverse events (occurring in at least 10% of participants in either group) (6 months) | Body weight (absolute change from baseline) | BMI (change from baseline) | BMI z score (absolute change from baseline) | Quality of life: absolute change in CFQ-R respiratory domain | Sweat chloride (absolute change from baseline)  | Quality of life: change in CFQ-R respiratory sub-domain | Adverse events at (1 month) | Quality of life: CFQ-R respiratory domain (change from baseline) | Adverse events (at up to 6 months) | Hospitalisation | Exacerbation (need for antibiotics) | Weight (absolute change from baseline) | Weight (change from baseline) | CFQ-R respiratory domain score (absolute change from baseline) | Most common adverse events (occurring in at least 10% of participants in either group) (day 43) | FEV1% predicted (absolute change from baseline) | CFQ-R Respiratory domain score (absolute change from baseline) | Most common adverse events (occurring in at least 10% of participants in either group) (at day 71) | Most common adverse events (occurring in at least 10% of participants in either group) (at day 57) | Most common adverse events (occurring in at least 10% of participants in either group) (at day 85),hypertension OR diabetes OR cardiovascular OR respiratory OR infection OR mental_health OR pain OR gastrointestinal OR renal
CD011039_pub2_data,10.1002/14651858.CD011039.pub2,"cardiovascular, gastrointestinal, renal",2,All-cause mortality | Morbidity due to any cause | Morbidity (by type) | Serious adverse events | Serious adverse events (by type) | Participants who did not receive a liver transplant | Participants without improvement in kidney function (first 24 months of follow-up) | Improvement in kidney function (parameters) | Improvement in liver function (parameters) | Length of hospitalisation measured in days (first 12 months of follow-up),cardiovascular OR gastrointestinal OR renal
CD011044_pub3_data,10.1002/14651858.CD011044.pub3,neurological,53,Overall survival | Progression-free survival | Degradation of QoL at 6 months | Response rates | Grade 3/4 anaemia | Grade 3/4 neutropenia | Grade 3/4 thrombocytopaenia | Grade 3/4 nausea | Grade 3/4 diarrhoea | Grade 3/4 neuropathy | Grade 3/4 fatigue | Response rate,neurological
CD011060_pub2_data,10.1002/14651858.CD011060.pub2,other,1,Readmission for hyperbilirubinemia | Exchange transfusion | Phototherapy before discharge | Acute bilirubin encephalopathy,other
CD011120_pub3_data,10.1002/14651858.CD011120.pub3,other,16,Tobacco use cessation | Quit attempts | Serious adverse events | All-cause mortality | Adverse events,other
CD011192_pub4_data,10.1002/14651858.CD011192.pub4,"hypertension, cardiovascular, respiratory, pregnancy, gastrointestinal, neurological, renal",1,Pre-eclampsia or pregnancy loss at any time after conception | Pre-eclampsia | Pregnancy loss at any time after conception | Maternal death | Maternal death or severe morbidity | Eclampsia | HELLP syndrome | ICU admission | Stroke | Pulmonary oedema | Acute kidney injury | Placental abruption | Hypertension | Gestational hypertension | Severe hypertension | Proteinuria | Raised liver enzymes | Low platelets | Preterm delivery before 37 weeks | Stillbirth | Early preterm birth < 34 weeks | Apgar score less than 7 at 5 minutes,hypertension OR cardiovascular OR respiratory OR pregnancy OR gastrointestinal OR neurological OR renal
CD011197_pub3_data,10.1002/14651858.CD011197.pub3,"mental_health, pain",20,"Mortality | Serious adverse events | AF recurrence | AFSS symptom severity | AFSS symptom burden | AFSS episode frequency | AFSS episode duration | Quality of life, SF-36 mental component score | Quality of life, SF-36 physical component score | Quality of life, SF-36 physical function | Quality of life, SF-36 physical role functioning | Quality of life, SF-36 bodily pain | Quality of life, SF-36 general health | Quality of life, SF-36 vitality | Quality of life, SF-36 social functioning | Quality of life, SF-36 role emotional | Quality of life, SF-36 mental health | Exercise capacity (VO2peak) | Exercise capacity (6MWT) | Exercise capacity (SMD)",mental_health OR pain
CD011204_pub3_data,10.1002/14651858.CD011204.pub3,pain,18,"Cognitive function, assessed with ADAS-cog: change from baseline at 3 months | Cognitive function, assessed with ADAS-cog, change from baseline at 6 months | Cognitive function, assessed with ADAS-cog: change from baseline at 6 months | ADAS-cog, ≥ 4-point improvement at 3 months (ITT) | ADAS-cog, ≥ 4-point improvement at 6 months (ITT) | ADAS-cog, ≥ 4-point improvement at 3 months (OC) | ADAS-cog, ≥ 4-point improvement at 6 months (OC) | MMSE, change from baseline at 6 months (ITT) | MMSE, change from baseline at 24 months (ITT) | MMSE, change from baseline at 6 months (OC) | Global rating, no change or improvement at 3 months (ITT) | Global rating, no change or improvement at 6 months (ITT) | Global rating, no change or improvement at 3 months (OC) | Global rating, no change or improvement at 6 months (OC) | Global rating, no change or improvement, galantamine 8 mg/day | Global rating, no change or improvement, galantamine 16 to 24 mg/day | Global rating, no change or improvement, galantamine 24 to 32 mg/day | Global rating, no change or improvement, galantamine 32 to 36 mg/day | Global rating, no change or improvement, galantamine 30 mg/day | ADCS/ADL, change from baseline at 6 months (ITT) | ADCS/ADL, change from baseline at 6 months (OC) | DAD, change from baseline at 3 months (ITT) | DAD, change from baseline at 6 months (ITT) | DAD, change from baseline at 12 months (ITT) | DAD, change from baseline at 24 months (ITT) | DAD, change from baseline at 3 months (OC) | DAD, change from baseline at 6 months (OC) | NPI, change from baseline at 3 months (ITT) | NPI, change from baseline at 6 months (ITT) | NPI, change from baseline at 3 months (OC) | NPI, change from baseline at 6 months (OC) | Proportion of all-cause discontinuations at 3 months | Proportion of all-cause discontinuations at 6 months | Proportion of all-cause discontinuations at 24 months | Proportion of discontinuations due to adverse events at 3 months | Proportion of discontinuations due to adverse events at 6 months | Proportion of discontinuations due to adverse events at 24 months | Proportion of participants experiencing nausea & vomiting | Proportion of participants experiencing dizziness | Proportion of participants experiencing diarrhoea | Proportion of participants experiencing abdominal pain | Proportion of participants experiencing decreased appetite | Proportion of participants experiencing nausea | Proportion of participants experiencing vomiting | Proportion of participants experiencing anorexia | Proportion of participants experiencing somnolence | Proportion of participants experiencing agitation | Proportion of participants experiencing headache | Proportion of participants experiencing weight loss | Proportion of participants experiencing tremor | Proportion of participants deceased at 3 months | Proportion of participants deceased at 6 months | Proportion of participants deceased at 24 months |  ADAS-cog, change from baseline at 12 months (ITT) |  ADAS-cog, change from baseline at 24 months (ITT) |  ADAS-ADL-MCI, change from baseline at 12 months (ITT) |  ADAS-ADL-MCI, change from baseline at 24 months (ITT) |  CDR-SB, change from 0.5 to ≥ 1.0 at 24 months (ITT) |  Proportion of all-cause discontinuations at 24 months |  Proportion of discontinuations due to adverse events at 24 months",pain
CD011218_pub2_data,10.1002/14651858.CD011218.pub2,other,8,Frequency of wearing a seat belt (Fernandez 2008) | Frequency of wearing a seat belt (Suffoletto 2022) | Frequency of wearing a seat belt (Johnston 2002) | Frequency of wearing a seat belt (Ehrlich 2010) | Frequency of wearing a seat belt (Kreuter 1996) | Frequency of wearing a seat belt (Hempel 1992) | Frequency of wearing a seat belt (Bojesen 2020) | Frequency of wearing a seat belt (Sullman 2019),other
CD011305_pub3_data,10.1002/14651858.CD011305.pub3,infection,6,All-cause mortality at 0 to 7 days | All-cause mortality at 8 to 30 days | All-cause mortality at 31 to 100 days | Death due to infection (0 to 3 months) | Death due to bleeding  (0 to 3 months) | Chemotherapy-related mortality (0 to 30 days) | Transplant-related mortality (0 to 30 days) | Any bleeding - WHO/CTCAE grade ≥ 1 or equivalent (0 to 3 months) | Clinically significant bleeding - WHO/CTCAE grade ≥ 2 or equivalent (0 to 3 months) | Severe bleeding - WHO/CTCAE grade ≥ 3 or equivalent (0 to 3 months) | Adverse transfusion reactions (0 to 3 months) | Serious infectious episodes (0 to 3 months) | Toxicity score for HSCT recipients - Bearman Toxicity Score ≥ grade 3 or equivalent (0 to 3 months) | Number of participants with VOD (0 to 3 months) | Mean number of RBC transfusions (units) per participant (0 to 3 months) | Interval between RBC transfusions (days) (0 to 3 months) | Number of participants with PLT transfusions from study entry (0 to 3 months) | Number of PLT transfusion episodes per participant (0 to 3 months) | Number of PLT transfusions (doses) per participant (0 to 3 months) | Length of hospital admission (days) (0 to 3 months) | Length of intensive care admission (0 to 3 months) | Hospital readmission (0 to 3 months),infection
CD011330_pub2_data,10.1002/14651858.CD011330.pub2,mental_health,11,Global symptoms score | Menopausal side effects | Withdrawal due to adverse events | Psychological symptoms | Physical symptoms | Functional symptoms | All continuous outcomes | Withdrawal due to adverse effects,mental_health
CD011381_pub3_data,10.1002/14651858.CD011381.pub3,mental_health,50,Comparisons for relapse (12 months)  | Comparisons for relapse (24 months) | Comparisons for relapse (36 months) | Comparisons for disability worsening (24 months) | Comparisons for disability worsening (36 months) | Number of patients who discontinued treatment due to adverse effects | Number of patients with any serious adverse effect | Comparisons for new gadolinium-enhancing positive T1-weighted MRI lesions (12 months)  | Comparisons for new gadolinium-enhancing positive T1-weighted MRI lesions (24 months)  | Comparisons for new or enlarging T2-weighted MRI lesions (12 months) | Comparisons for new or enlarging T2-weighted MRI lesions (24 months) | Comparisons for quality of life total (non-MS related: EQ-5D VAS) | Comparisons for quality of life total (non-MS related) (INDEX) | Comparisons for quality of life - physical (non-MS related: SF-36) | Comparisons for quality of life - physical (MS related: MSQOL-54 PH; MSQoL-54; MSIS29 Psychological) | Comparisons for quality of life - mental (Non-MS related: SF-36) | Comparisons for quality of life - mental (MS related: MSQOL-54 PH; MSQoL-54; MSIS29 Psychological) | Mortality,mental_health
CD011468_pub2_data,10.1002/14651858.CD011468.pub2,pain,2,Secondary patency | Post-thrombotic syndrome | Quality of life | Adverse events,pain
CD011535_pub7_data,10.1002/14651858.CD011535.pub7,mental_health,149,Non-targeted treatments versus placebo | Ciclosporin versus methotrexate | Fumaric acid esters versus methotrexate | Anti-TNF alpha versus placebo | Anti-IL12/23 versus placebo | Anti-IL17 versus placebo | Anti-IL23 versus placebo | Biologics versus non-targeted treatements | Etanercept versus other anti-TNF alpha | Anti-TNF alpha versus other biologics | Anti-IL12/23 versus other biologics | Anti-IL17 versus other biologics | Phosphodiesterase-4 inhibitors versus placebo | TYK-2 inhibitors versus placebo | Apremilast versus other systemic treatements | Etanercept versus other anti TNF alpha | Ixekizumab versus secukinumab | Anti IL12/23 versus placebo | Anti TNF alpha versus other biologics | Anti IL12/23 versus other biologics | Biologic 1 versus biologic 2 | Small molecule 1 versus small molecule 2,mental_health
CD011575_pub3_data,10.1002/14651858.CD011575.pub3,"hypertension, cardiovascular, neurological, renal",4,All-cause mortality | Stroke | Serious cardiovascular adverse events | Cardiovascular mortality | Non-cardiovascular mortality | Myocardial infarction/acute coronary syndrome | Heart failure (decompensation/hospitalisation/death) | Renal failure | Total serious adverse events | Total minor adverse events | Withdrawals due to adverse effects | Mean systolic BP achieved | Mean diastolic BP achieved | All-cause mortality (excluding Wei) | Stroke (excluding Wei) | Serious cardiovascular adverse events (excluding Wei) | Cardiovascular mortality (excluding Wei) | All-cause mortality (excluding JATOS) | Serious cardioavascular adverse events (excluding JATOS) | Stroke (excluding JATOS) | Cardiovascular mortality (excluding JATOS),hypertension OR cardiovascular OR neurological OR renal
